wall_time,elapsed_s,clients,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,wire_ms_mean,wire_ms_p95,wire_ms_max,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 12:30:20.390,1.015,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,477.6,4096.0,132.0,17.6,56.0,38.8,12.42,67.0,1575.0,6.3,22.6,84,8122.4,15708.2,51.7,837.6,0.0,4352.0,0.0
2026-09-04 12:30:21.389,2.015,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,34.0,,26.0,485.6,4096.0,140.0,17.9,54.0,1132.3,15.12,69.0,1575.0,13.6,102.1,84,8143.1,15708.2,51.8,987.9,0.0,4352.0,0.0
2026-09-04 12:30:22.390,3.015,1,11,11,11.0,5.16,194.07,882.093,1503.687,1.48,1.831,1.985,195.971,884.487,1506.021,100.331,103.026,103.797,174.295,1407.852,1469.566,193.784,881.4,1502.523,2873.512,3189.563,3218.993,47.0,213.16,40.0,565.6,4096.0,220.0,59.7,126.0,1132.3,17.48,69.0,1575.0,10.1,133.9,91,8336.9,15708.2,53.1,1201.9,0.0,4352.0,0.0
2026-09-04 12:30:23.389,4.014,1,33,22,22.0,23.79,42.222,42.844,43.24,1.478,1.654,1.703,44.054,44.869,45.189,99.702,101.363,101.784,22.921,22.988,22.993,42.028,42.664,43.014,2134.145,2651.91,2710.898,54.0,92.47,49.0,565.6,4096.0,220.0,29.8,126.0,1132.3,27.11,70.0,1725.0,9.4,102.1,91,8340.7,15708.2,53.1,1202.3,0.0,4352.0,0.0
2026-09-04 12:30:24.390,5.016,1,54,21,20.97,21.73,46.233,47.292,47.72,1.631,1.943,2.516,48.277,49.445,49.641,99.846,101.715,101.856,22.971,23.056,23.104,46.027,47.071,47.522,989.194,1449.948,1504.494,47.0,96.54,42.0,565.6,4096.0,220.0,27.7,126.0,1132.3,26.9,70.0,1725.0,17.0,101.9,91,8356.6,15708.2,53.2,1201.3,0.0,4352.0,0.0
2026-09-04 12:30:25.389,6.015,1,67,13,13.02,21.65,46.421,47.201,47.224,1.603,1.824,1.83,48.499,49.429,49.565,100.214,101.438,101.59,22.954,22.999,23.001,46.192,46.983,46.992,200.512,401.264,432.01,23.0,60.12,20.0,565.6,4096.0,220.0,29.8,126.0,1132.3,23.91,69.0,1725.0,14.4,69.1,91,8356.5,15708.2,53.2,1198.8,0.0,4352.0,0.0
2026-09-04 12:30:26.389,7.015,1,77,10,10.0,21.0,47.904,51.117,53.195,1.584,1.938,2.159,50.017,53.243,55.37,99.74,101.005,101.135,23.01,23.097,23.097,47.625,50.842,52.91,107.574,109.85,110.335,23.0,47.62,20.0,565.6,4096.0,220.0,29.8,126.0,1132.3,20.35,70.0,1725.0,16.4,53.0,91,8369.2,15708.2,53.3,1198.8,0.0,4352.0,0.0
2026-09-04 12:30:27.389,8.015,1,87,10,10.0,20.67,48.658,49.809,50.058,1.511,1.645,1.67,50.718,51.949,52.177,100.022,101.761,102.244,23.8,23.977,23.977,48.381,49.511,49.756,107.794,109.432,109.652,24.0,48.38,20.0,565.6,4096.0,220.0,29.8,126.0,1132.3,18.8,69.0,1575.0,7.6,54.0,91,8353.2,15708.2,53.2,1198.8,0.0,4352.0,0.0
2026-09-04 12:30:28.389,9.014,1,97,10,10.0,20.84,48.263,49.572,49.925,1.601,1.832,1.838,50.385,51.638,52.009,99.575,100.529,100.55,23.898,23.987,23.987,47.99,49.282,49.628,107.887,110.401,111.084,24.0,47.99,20.0,565.6,4096.0,220.0,29.8,126.0,1132.3,17.86,69.0,1575.0,9.2,54.0,91,8355.8,15708.2,53.2,1198.9,0.0,4352.0,0.0
2026-09-04 12:30:29.390,10.016,1,107,10,9.99,20.03,50.195,55.326,59.131,1.559,1.715,1.762,52.324,57.415,61.216,100.208,101.45,101.53,23.932,24.046,24.046,49.914,55.009,58.787,107.352,109.578,109.695,24.0,49.86,20.0,565.6,4096.0,220.0,29.8,126.0,1132.3,17.88,70.0,1575.0,8.9,54.9,91,8365.0,15708.2,53.3,1198.9,0.0,4352.0,0.0
