wall_time,elapsed_s,clients,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,wire_ms_mean,wire_ms_p95,wire_ms_max,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 11:21:04.407,1.013,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,471.6,4096.0,126.0,7.6,56.0,38.8,12.48,68.0,1575.0,2.8,4.9,84,8360.4,15708.2,53.2,753.2,0.0,4352.0,0.0
2026-09-04 11:21:05.407,2.013,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,477.6,4096.0,132.0,17.6,56.0,38.8,12.48,68.0,1575.0,2.8,18.0,84,8387.2,15708.2,53.4,830.9,0.0,4352.0,0.0
2026-09-04 11:21:06.407,3.013,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,30.0,,24.0,485.6,4096.0,140.0,17.9,54.0,1132.3,13.67,70.0,1575.0,7.7,103.0,84,8521.1,15708.2,54.2,1002.3,0.0,4352.0,0.0
2026-09-04 11:21:07.407,4.013,1,12,12,12.0,5.69,175.958,793.075,1453.989,0.941,1.401,1.512,177.328,794.966,1456.16,95.574,108.458,108.767,156.639,1241.97,1420.546,175.644,792.192,1452.303,1387.541,1697.354,1718.257,45.0,210.75,40.0,565.6,4096.0,220.0,29.8,126.0,1132.3,18.65,70.0,1725.0,9.7,132.9,91,8695.8,15708.2,55.4,1200.2,0.0,4352.0,0.0
2026-09-04 11:21:08.408,5.014,1,33,21,20.98,27.25,36.893,41.714,42.409,0.78,0.991,1.094,38.142,42.967,43.81,100.637,104.971,106.1,22.94,23.062,23.068,36.693,41.472,42.146,545.748,1090.119,1156.244,49.0,76.97,45.0,565.6,4096.0,220.0,27.7,126.0,1132.3,28.83,71.0,1725.0,7.0,82.9,91,8675.9,15708.2,55.2,1197.9,0.0,4352.0,0.0
2026-09-04 11:21:09.407,6.013,1,43,10,10.01,23.94,42.047,42.928,43.269,0.847,1.154,1.244,43.461,44.519,44.755,100.001,101.012,101.285,23.012,23.107,23.107,41.775,42.628,42.955,109.916,111.105,111.495,21.0,41.82,18.0,565.6,4096.0,220.0,27.7,126.0,1132.3,20.85,70.0,1725.0,5.0,47.0,91,8681.6,15708.2,55.3,1197.9,0.0,4352.0,0.0
2026-09-04 11:21:10.407,7.013,1,53,10,10.0,23.6,42.63,44.133,44.855,0.749,0.844,0.853,43.936,45.517,46.172,99.819,101.07,101.376,23.637,23.965,23.965,42.379,43.88,44.602,109.298,111.208,111.543,25.0,42.38,21.0,565.6,4096.0,220.0,27.7,126.0,1132.3,19.63,70.0,1575.0,7.6,47.0,91,8706.4,15708.2,55.4,1198.0,0.0,4352.0,0.0
2026-09-04 11:21:11.407,8.013,1,63,10,10.0,23.54,42.742,43.69,44.106,0.692,0.744,0.748,44.004,44.971,45.383,99.701,101.076,101.302,23.912,24.001,24.001,42.479,43.43,43.837,109.793,111.229,111.647,23.0,42.48,19.0,565.6,4096.0,220.0,27.7,126.0,1132.3,17.77,70.0,1575.0,6.7,47.0,91,8685.3,15708.2,55.3,1198.0,0.0,4352.0,0.0
2026-09-04 11:21:12.407,9.013,1,73,10,10.0,23.46,42.9,44.62,45.203,0.715,0.777,0.802,44.126,45.942,46.543,100.026,101.431,101.5,23.931,24.014,24.014,42.63,44.334,44.891,110.208,111.827,111.969,21.0,42.64,18.0,565.6,4096.0,220.0,27.7,126.0,1132.3,17.68,70.0,1575.0,11.9,48.0,91,8726.3,15708.2,55.6,1198.1,0.0,4352.0,0.0
2026-09-04 11:21:13.408,10.014,1,83,10,9.99,22.96,43.833,47.591,49.568,0.758,0.934,0.952,45.145,49.032,51.212,99.997,101.192,101.249,23.974,24.058,24.058,43.558,47.305,49.274,110.643,112.757,113.493,22.0,43.5,19.0,565.6,4096.0,220.0,27.7,126.0,1132.3,17.7,70.0,1575.0,18.7,48.9,91,8740.1,15708.2,55.6,1198.1,0.0,4352.0,0.0
2026-09-04 11:21:14.407,11.013,1,93,10,10.01,23.81,42.269,43.07,43.529,0.789,0.981,1.004,43.574,44.41,44.917,99.887,101.402,101.425,23.918,24.006,24.006,41.996,42.79,43.248,109.608,110.913,111.007,25.0,42.05,21.0,565.6,4096.0,220.0,27.7,126.0,1132.3,17.8,70.0,1575.0,11.7,46.1,91,8755.3,15708.2,55.7,1198.1,0.0,4352.0,0.0
2026-09-04 11:21:15.406,12.013,1,103,10,10.0,23.33,43.126,44.452,44.751,0.848,1.038,1.124,44.503,45.836,46.174,99.776,100.912,101.019,23.918,24.015,24.015,42.863,44.154,44.465,109.632,111.076,111.382,22.0,42.86,19.0,565.6,4096.0,220.0,27.7,126.0,1132.3,17.87,70.0,1575.0,6.8,48.0,91,8765.7,15708.2,55.8,1198.1,0.0,4352.0,0.0
2026-09-04 11:21:16.407,13.013,1,113,10,10.0,23.07,43.643,44.935,45.349,0.99,1.39,1.421,45.19,46.685,47.264,100.525,102.502,103.121,23.913,23.976,23.976,43.352,44.617,45.021,112.224,125.371,135.518,32.0,43.35,28.0,565.6,4096.0,220.0,27.7,126.0,1132.3,17.8,71.0,1575.0,6.5,49.0,91,8766.8,15708.2,55.8,1198.2,0.0,4352.0,0.0
2026-09-04 11:21:17.407,14.013,1,123,10,10.0,22.9,43.959,44.948,45.051,0.841,1.051,1.173,45.372,46.573,46.816,99.244,100.454,100.491,23.933,24.037,24.037,43.675,44.666,44.76,109.894,112.408,112.718,23.0,43.67,19.0,565.6,4096.0,220.0,27.7,126.0,1132.3,17.95,70.0,1575.0,4.3,49.0,91,8774.7,15708.2,55.9,1198.2,0.0,4352.0,0.0
2026-09-04 11:21:18.408,15.014,1,133,10,9.99,23.71,42.436,43.556,43.94,0.793,0.95,1.031,43.747,44.931,45.337,100.303,102.214,102.937,23.917,23.98,23.98,42.173,43.287,43.654,109.908,111.967,112.952,19.0,42.12,16.0,565.6,4096.0,220.0,27.7,126.0,1132.3,17.84,70.0,1575.0,9.0,47.9,91,8716.5,15708.2,55.5,1198.2,0.0,4352.0,0.0
